columna.name;traduccion
X.Cuál.es.su.correo.electrónico...Opcional.;correo
X.Cuál.es.su.edad..;edad
X.Cual.es.tu.género.;genero
X..Eres.estudiante.foráneo.;estudiante_foraneo
X.Actualmente.trabajas.;trabaja
X.Trabajas.en.un.rubro.orientado.a.ingeniería.en.sistemas.;rubro_trabajo
X.Estás.realizando.práctica.profesional.actualmente.;practica_actualmente
X.Está.desempeñando.su.práctica.profesional.en.su.primer.opción.de.empresa.;practica_primera_opcion
X.Estás.realizando.la.práctica.profesional.cursando.clases.;practica_cursando_clases
X.Cuál.es.tu.índice.académico.;rango_indice
X.Cómo.consideras.que.es.tu.rendimiento.académico.;rendimiento_academico
X.Ha.aprendido.nuevas.habilidades.de.forma.autodidacta.;nuevas_habilidades_autodidacta
X.Cuántas.horas.a.la.semana.dedicas.a.la.investigación.o.estudio.de.tus.clases.;hora_investigacion
X.Se.ha.sometido.a.entrevistas.para.laborar.o.realizar.práctica.profesional.anteriormente.;entrevistas_previas
X.Te.han.rechazado.la.solicitud.de.práctica.profesional.anteriormente.en.alguna.empresa..;rechazo_en_entrevista
X.Que.áreas.de.ingeniería.en.sistema.considera.que.mejor.domina.;area_sistema_dominada
X.Que.área.considera.que.se.le.dificulta.más.;area_sistema_dificulta
X.En.que.empresa.según.sus.actividades.te.gustaría.aspirar.a.realizar.o.está.realizando.su.practica.profesional.;empresa_segun_actividad
X.En.que.área.le.gustaría.desempeñar.la.práctica.profesional.;area_preferida
X.Se.ha.informado.bien.sobre.el.área.de.la.empresas.donde.aspira.a.realizar.o.esta.realizando.su.practica.profesional.;info_sobre_empresa
X.Qué.tan.importante.considera.el.uso.de.la.tecnología.para.la.búsqueda.de.empleo.o.práctica.profesional.;importancia_uso_tecnologia
X.Usaría..un.sitio.web.o.aplicación.gratuita..para.obtener.acceso.a.ofertas.laborales..exclusivas.y..personalizadas.de.acuerdo.a.sus.competencias.e.intereses..;acceso_ofertas
X.Cree.usted.que.tener.ofertas.laborales.o.de.practicas.profesionales.exclusivas.para.estudiantes.de.la.UNAH...ayudaria.con.la.búsqueda.de.los.mismos.;ofertas_exclusivas_estudiantes
X.Estaría.de.acuerdo.en.recibir.ofertas.laborales.o.de.prácticas.profesionales.en.sus.correo.electrónico.institucional.;notificacion_oferta
